State,year_month,abortions_per_1000_women_ages_1544,birth_rate_per_1000_women_1544,women_1544_pop,months_since_dobbs,telehealth_share,shield_law_state,shield_law_access,gestational_limit_weeks,single_mothers_median_monthly_income,infant_child_care_cost_burden,snap_participation_rate.x,tanf _apps_per_1000,tanf_apps,tanf_one_parent_per1000_women_1544,medicaid_expansion_status,medicaid_abortion_funding_restrictions,RPP_all_items,state_unemployment_rate,minimum_wage,census_region,CPI,ban_state,policy_group.x,shield_group,tanf_resid,snap_resid,snap_participation_rate,policy_group.y,policy_group
AK,2022_04,0.83,5.4,144221,-3,8%,0,0,24,3644,27,13.18%,5.98,862,5.82,1,0,102.101,4.5,10.34,West,307.145,0,Non-Restrictive,No Shield Law,-0.916487858,0.015645203,0.1318,Permissive,Permissive
AK,2022_05,0.9,5.53,144221,-2,8%,0,0,24,3644,27,13.26%,7.39,1066,5.73,1,0,102.101,4.1,10.34,West,309.645,0,Non-Restrictive,No Shield Law,-1.086192285,0.016245275,0.1326,Permissive,Permissive
AK,2022_06,0.97,5.66,144221,-1,14%,0,0,24,3644,27,13.34%,7.49,1080,5.73,1,0,102.101,4.3,10.34,West,313.496,0,Non-Restrictive,No Shield Law,-1.208968986,0.016737306,0.1334,Permissive,Permissive
AK,2022_07,0.76,5.63,144221,0,18%,0,0,24,3644,27,13.35%,8.70,1255,5.66,1,0,102.101,3.6,10.34,West,313.951,0,Non-Restrictive,No Shield Law,-1.293475192,0.01680092,0.1335,Permissive,Permissive
AK,2022_08,0.97,5.73,144221,1,21%,0,0,24,3644,27,11.31%,11.10,1601,5.19,1,0,102.101,3,10.34,West,314.013,0,Non-Restrictive,No Shield Law,-1.765451862,-0.003604039,0.1131,Permissive,Permissive
AK,2022_09,1.04,5.53,144221,2,20%,0,0,24,3644,27,9.52%,8.49,1224,4.63,1,0,102.101,3.2,10.34,West,315.094,0,Non-Restrictive,No Shield Law,-2.359916057,-0.021590487,0.0952,Permissive,Permissive
AK,2022_10,0.9,5.31,144221,3,15%,0,0,24,3644,27,8.09%,7.53,1086,4.44,1,0,102.101,3.6,10.34,West,317.299,0,Non-Restrictive,No Shield Law,-2.620215362,-0.036066824,0.0809,Permissive,Permissive
AK,2022_11,0.9,5.03,144221,4,15%,0,0,24,3644,27,6.49%,7.83,1129,4.15,1,0,102.101,4.1,10.34,West,315.919,0,Non-Restrictive,No Shield Law,-2.866218518,-0.051956464,0.0649,Permissive,Permissive
AK,2022_12,1.04,5.22,144221,5,20%,0,0,24,3644,27,5.20%,7.76,1119,4.03,1,0,102.101,4,10.34,West,314.599,0,Non-Restrictive,No Shield Law,-2.94413458,-0.064750902,0.052,Permissive,Permissive
AK,2023_01,0.9,5.25,144221,6,23%,0,0,24,3788,26,4.43%,6.76,975,3.86,1,0,103.297,4.7,10.85,West,317.477,0,Non-Restrictive,No Shield Law,-3.661054293,-0.072895101,0.0443,Permissive,Permissive
AK,2023_02,0.97,4.72,144221,7,14%,0,0,24,3788,26,5.93%,5.73,827,3.74,1,0,103.297,4.8,10.85,West,319.13,0,Non-Restrictive,No Shield Law,-3.833754861,-0.058027293,0.0593,Permissive,Permissive
AK,2023_03,0.97,5.24,144221,8,14%,0,0,24,3788,26,7.21%,5.50,793,3.71,1,0,103.297,4.4,10.85,West,320.715,0,Non-Restrictive,No Shield Law,-3.914287468,-0.045354047,0.0721,Permissive,Permissive
AK,2023_04,0.76,4.92,144221,9,18%,0,0,24,3788,26,8.11%,6.13,884,3.7,1,0,103.297,4,10.85,West,322.187,0,Non-Restrictive,No Shield Law,-3.971217436,-0.036471764,0.0811,Permissive,Permissive
AK,2023_05,1.11,5.31,144221,10,19%,0,0,24,3788,26,8.82%,7.98,1151,3.83,1,0,103.297,4,10.85,West,323.525,0,Non-Restrictive,No Shield Law,-3.883875245,-0.029478766,0.0882,Permissive,Permissive
AK,2023_06,0.97,5.37,144221,11,14%,0,0,24,3788,26,9.00%,7.63,1101,3.81,1,0,103.297,4.4,10.85,West,324.448,0,Non-Restrictive,No Shield Law,-3.93330212,-0.027752579,0.09,Permissive,Permissive
AK,2023_07,1.18,5.33,144221,12,18%,0,0,24,3788,26,9.06%,8.25,1190,3.8,1,0,103.297,3.7,10.85,West,324.865,0,Non-Restrictive,No Shield Law,-3.956596819,-0.027185927,0.0906,Permissive,Permissive
AK,2023_08,1.18,5.11,144221,13,18%,0,0,24,3788,26,8.84%,10.13,1461,3.87,1,0,103.297,3.7,10.85,West,326.234,0,Non-Restrictive,No Shield Law,-3.930242964,-0.029495407,0.0884,Permissive,Permissive
AK,2023_09,1.04,5.38,144221,14,27%,0,0,24,3788,26,8.11%,7.35,1060,3.89,1,0,103.297,3.9,10.85,West,327.491,0,Non-Restrictive,No Shield Law,-3.95031835,-0.036895931,0.0811,Permissive,Permissive
AK,2023_10,1.25,5.22,144221,15,22%,0,0,24,3788,26,6.91%,5.35,771,3.91,1,0,103.297,4.1,10.85,West,327.708,0,Non-Restrictive,No Shield Law,-3.937236694,-0.048913285,0.0691,Permissive,Permissive
AK,2023_11,1.04,5.33,144221,16,20%,0,0,24,3788,26,6.31%,5.02,724,3.85,1,0,103.297,4.4,10.85,West,326.299,0,Non-Restrictive,No Shield Law,-3.952315279,-0.054800606,0.0631,Permissive,Permissive
AK,2023_12,0.97,5.18,144221,17,29%,0,0,24,3788,26,7.19%,3.41,492,4.23,1,0,103.297,4.6,10.85,West,325.932,0,Non-Restrictive,No Shield Law,-3.560614669,-0.045971256,0.0719,Permissive,Permissive
AK,2024_01,0.88,5.19,147049,18,15%,0,0,24,3906,26,8.02%,5.81,854,5.35,1,0,102.359,5.1,11.73,West,328.053,0,Non-Restrictive,No Shield Law,-2.151259476,-0.037673006,0.0802,Permissive,Permissive
AK,2024_02,0.95,5,147049,19,14%,0,0,24,3906,26,9.79%,5.46,803,5.21,1,0,102.359,5.3,11.73,West,329.339,0,Non-Restrictive,No Shield Law,-2.332259434,-0.020075849,0.0979,Permissive,Permissive
AK,2024_03,0.95,5.26,147049,20,21%,0,0,24,3906,26,10.47%,4.78,703,4.91,1,0,102.359,4.8,11.73,West,332.202,0,Non-Restrictive,No Shield Law,-2.723536944,-0.013504806,0.1047,Permissive,Permissive
AK,2024_04,1.09,4.79,147049,21,19%,0,0,24,3906,26,10.71%,5.93,872,5.35,1,0,102.359,4.5,11.73,West,334.05,0,Non-Restrictive,No Shield Law,-2.342454458,-0.011252592,0.1071,Permissive,Permissive
AK,2024_05,1.09,5.3,147049,22,19%,0,0,24,3906,26,10.80%,6.83,1005,5.21,1,0,102.359,4.3,11.73,West,334.292,0,Non-Restrictive,No Shield Law,-2.490169846,-0.010371945,0.108,Permissive,Permissive
AK,2024_06,1.16,4.85,147049,23,24%,0,0,24,3906,26,10.82%,6.51,957,4.91,1,0,102.359,4.9,11.73,West,333.662,0,Non-Restrictive,No Shield Law,-2.77008433,-0.010121564,0.1082,Permissive,Permissive
AK,2024_07,1.02,5.54,147049,24,20%,0,0,24,3906,26,10.62%,8.62,1268,4.69,1,0,102.359,4.4,11.73,West,333.174,0,Non-Restrictive,No Shield Law,-2.974526026,-0.012082538,0.1062,Permissive,Permissive
AK,2024_08,0.95,5.24,147049,25,21%,0,0,24,3906,26,10.09%,8.02,1179,4.56,1,0,102.359,4.1,11.73,West,333.442,0,Non-Restrictive,No Shield Law,-3.113070341,-0.01740397,0.1009,Permissive,Permissive
AK,2024_09,0.88,5.18,147049,26,23%,0,0,24,3906,26,9.55%,6.87,1010,4.4,1,0,102.359,4,11.73,West,334.265,0,Non-Restrictive,No Shield Law,-3.299309038,-0.022869786,0.0955,Permissive,Permissive
AK,2024_10,0.88,4.76,147049,27,23%,0,0,24,3906,26,8.71%,8.65,1272,4.31,1,0,102.359,4.4,11.73,West,334.558,0,Non-Restrictive,No Shield Law,-3.398650397,-0.031293218,0.0871,Permissive,Permissive
AK,2024_11,1.09,4.73,147049,28,25%,0,0,24,3906,26,8.63%,6.88,1012,4.17,1,0,102.359,4.9,11.73,West,334.218,0,Non-Restrictive,No Shield Law,-3.527810595,-0.032066028,0.0863,Permissive,Permissive
AK,2024_12,1.02,4.98,147049,29,33%,0,0,24,3906,26,8.74%,6.59,969,4.16,1,0,102.359,4.7,11.73,West,334.084,0,Non-Restrictive,No Shield Law,-3.533538438,-0.030955311,0.0874,Permissive,Permissive
AL,2022_04,0.66,4.5,991098,-3,0%,0,0,20,1998,33,14.82%,0.57,567,1.82,0,1,88.021,2,7.25,South,279.879,0,Restrictive,No Shield Law,1.311252676,0.036745521,0.1482,Total Ban,Total Ban
AL,2022_05,0.63,4.63,991098,-2,0%,0,0,20,1998,33,14.91%,0.63,622,1.86,0,1,88.021,2.2,7.25,South,283.307,0,Restrictive,No Shield Law,1.241961965,0.03737138,0.1491,Total Ban,Total Ban
AL,2022_06,0.52,4.75,991098,-1,0%,0,0,20,1998,33,14.99%,0.62,616,1.92,0,1,88.021,3,7.25,South,287.427,0,Restrictive,No Shield Law,1.170609068,0.037841899,0.1499,Total Ban,Total Ban
AL,2022_07,0,5.05,991098,0,0%,0,0,0,1998,33,15.07%,0.63,623,2,0,1,88.021,2.9,7.25,South,287.608,1,Restrictive,No Shield Law,1.244838467,0.038627424,0.1507,Total Ban,Total Ban
AL,2022_08,0,5.54,991098,1,0%,0,0,0,1998,33,15.25%,0.57,564,2.15,0,1,88.021,2.9,7.25,South,287.168,1,Restrictive,No Shield Law,1.408866446,0.040462612,0.1525,Total Ban,Total Ban
AL,2022_09,0,5.1,991098,2,0%,0,0,0,1998,33,15.25%,0.44,440,2.27,0,1,88.021,2.4,7.25,South,287.656,1,Restrictive,No Shield Law,1.513308142,0.040423586,0.1525,Total Ban,Total Ban
AL,2022_10,0,4.88,991098,3,0%,0,0,0,1998,33,15.28%,0.36,356,2.26,0,1,88.021,2.4,7.25,South,288.836,1,Restrictive,No Shield Law,1.465687652,0.04062922,0.1528,Total Ban,Total Ban
AL,2022_11,0,4.96,991098,4,0%,0,0,0,1998,33,15.38%,0.25,248,2.3,0,1,88.021,2.2,7.25,South,288.991,1,Restrictive,No Shield Law,1.500745978,0.041616824,0.1538,Total Ban,Total Ban
AL,2022_12,0,5.13,991098,5,0%,0,0,0,1998,33,15.47%,0.22,222,2.41,0,1,88.021,2,7.25,South,288.205,1,Restrictive,No Shield Law,1.63580505,0.042579682,0.1547,Total Ban,Total Ban
AL,2023_01,0,5,"991,098",6,0%,0,0,0,2207,33,15.22%,0.26,262,2.31,0,1,89.097,2.6,7.25,South,290.438,1,Restrictive,No Shield Law,1.055117705,0.03970854,0.1522,Total Ban,Total Ban
AL,2023_02,0,4.41,"991,098",7,0%,0,0,0,2207,33,15.21%,0.25,251,2.24,0,1,89.097,2.5,7.25,South,292.285,1,Restrictive,No Shield Law,0.926232074,0.039460833,0.1521,Total Ban,Total Ban
AL,2023_03,0,4.92,"991,098",8,0%,0,0,0,2207,33,15.22%,0.27,263,2.12,0,1,89.097,2.2,7.25,South,293.358,1,Restrictive,No Shield Law,0.772022933,0.039475024,0.1522,Total Ban,Total Ban
